timestampMs,poorSignal,eegRawValue,eegRawValueVolts,attention,meditation,blinkStrength,delta,theta,alphaLow,alphaHigh,betaLow,betaHigh,gammaLow,gammaMid,tagEvent,location
1621871057039,0,-377,-8.28369140625E-5,51,44,41,550951,70520,16771126,21653,58774,16746707,13981,4165,Tag0,unknown
1621871057140,0,120,2.63671875E-5,38,48,41,963451,169817,71965,32521,11905,16691,10419,2359,Tag0,unknown
1621871057240,0,-118,-2.5927734375E-5,38,48,41,963451,169817,71965,32521,11905,16691,10419,2359,Tag0,unknown
1621871057340,0,-295,-6.48193359375E-5,38,48,41,963451,169817,71965,32521,11905,16691,10419,2359,Tag0,unknown
1621871057440,0,18,3.955078125E-6,38,48,41,963451,169817,71965,32521,11905,16691,10419,2359,Tag0,unknown
1621871057540,0,11,2.4169921875E-6,38,48,41,963451,169817,71965,32521,11905,16691,10419,2359,Tag0,unknown
1621871057641,0,107,2.35107421875E-5,38,48,41,963451,169817,71965,32521,11905,16691,10419,2359,Tag0,unknown
1621871057741,0,57,1.2524414062500001E-5,38,48,41,963451,169817,71965,32521,11905,16691,10419,2359,Tag0,unknown
1621871057841,0,97,2.13134765625E-5,38,48,41,963451,169817,71965,32521,11905,16691,10419,2359,Tag0,unknown
1621871057944,0,41,9.008789062499999E-6,38,48,41,963451,169817,71965,32521,11905,16691,10419,2359,Tag0,unknown
1621871058045,0,-61,-1.34033203125E-5,38,48,41,963451,169817,71965,32521,11905,16691,10419,2359,Tag0,unknown
1621871058158,0,-333,-7.316894531249999E-5,50,48,41,229924,22305,16549,7916,9912,5540,2162,332,Tag0,unknown
1621871058262,0,-277,-6.0864257812500005E-5,50,48,41,229924,22305,16549,7916,9912,5540,2162,332,Tag0,unknown
1621871058362,0,-294,-6.4599609375E-5,50,48,41,229924,22305,16549,7916,9912,5540,2162,332,Tag0,unknown
1621871058462,0,-323,-7.09716796875E-5,50,48,41,229924,22305,16549,7916,9912,5540,2162,332,Tag0,unknown
1621871058577,0,19,4.1748046875E-6,50,48,41,229924,22305,16549,7916,9912,5540,2162,332,Tag0,unknown
1621871058680,0,1,2.197265625E-7,50,48,41,229924,22305,16549,7916,9912,5540,2162,332,Tag0,unknown
1621871058793,0,32,7.03125E-6,50,48,41,229924,22305,16549,7916,9912,5540,2162,332,Tag0,unknown
1621871058894,0,-185,-4.06494140625E-5,50,48,41,229924,22305,16549,7916,9912,5540,2162,332,Tag0,unknown
1621871058995,0,123,2.70263671875E-5,50,48,41,229924,22305,16549,7916,9912,5540,2162,332,Tag0,unknown
1621871059095,0,80,1.7578125E-5,50,48,41,229924,22305,16549,7916,9912,5540,2162,332,Tag0,unknown
1621871059195,0,91,1.99951171875E-5,51,64,41,311951,16745892,31432,16756293,16748307,8392,5980,1267,Tag0,unknown
1621871059295,0,75,1.64794921875E-5,51,64,41,311951,16745892,31432,16756293,16748307,8392,5980,1267,Tag0,unknown
1621871059395,0,-286,-6.2841796875E-5,51,64,41,311951,16745892,31432,16756293,16748307,8392,5980,1267,Tag0,unknown
1621871059495,0,84,1.8457031250000004E-5,51,64,41,311951,16745892,31432,16756293,16748307,8392,5980,1267,Tag0,unknown
1621871059597,0,-117,-2.5708007812499998E-5,51,64,41,311951,16745892,31432,16756293,16748307,8392,5980,1267,Tag0,unknown
1621871059698,0,87,1.91162109375E-5,51,64,41,311951,16745892,31432,16756293,16748307,8392,5980,1267,Tag0,unknown
1621871059798,0,108,2.3730468750000002E-5,51,64,41,311951,16745892,31432,16756293,16748307,8392,5980,1267,Tag0,unknown
1621871059898,0,13,2.8564453125E-6,51,64,41,311951,16745892,31432,16756293,16748307,8392,5980,1267,Tag0,unknown
1621871059998,0,-128,-2.8125E-5,51,64,41,311951,16745892,31432,16756293,16748307,8392,5980,1267,Tag0,unknown
1621871060098,0,-284,-6.240234375E-5,51,64,41,311951,16745892,31432,16756293,16748307,8392,5980,1267,Tag0,unknown
1621871060198,0,-269,-5.9106445312499996E-5,40,61,41,61389,16771592,12390,3727,6635,5845,1550,2118,Tag0,unknown
1621871060298,0,-80,-1.7578125E-5,40,61,41,61389,16771592,12390,3727,6635,5845,1550,2118,Tag0,unknown
1621871060401,0,-101,-2.2192382812500002E-5,40,61,41,61389,16771592,12390,3727,6635,5845,1550,2118,Tag0,unknown
1621871060517,0,-331,-7.272949218750001E-5,40,61,41,61389,16771592,12390,3727,6635,5845,1550,2118,Tag0,unknown
1621871060617,0,58,1.2744140625E-5,40,61,41,61389,16771592,12390,3727,6635,5845,1550,2118,Tag0,unknown
1621871060717,0,104,2.28515625E-5,40,61,41,61389,16771592,12390,3727,6635,5845,1550,2118,Tag0,unknown
1621871060819,0,58,1.2744140625E-5,40,61,41,61389,16771592,12390,3727,6635,5845,1550,2118,Tag0,unknown
1621871060933,0,124,2.724609375E-5,40,61,41,61389,16771592,12390,3727,6635,5845,1550,2118,Tag0,unknown
1621871061034,0,50,1.0986328125E-5,40,61,41,61389,16771592,12390,3727,6635,5845,1550,2118,Tag0,unknown
