Delta,Theta,Alpha,Beta,Label,,,
68477.69003,48835.27615,23216.31691,52719.78929,0,,1,attentive
70024.00958,46081.42902,22272.12042,43536.71412,0,,0,inattentive
87614.60466,49114.28343,21323.84638,47840.55671,0,,,
355364.8254,142661.1663,42858.56926,69491.1777,0,,,
82501.32963,50571.41394,24264.46193,55547.33045,0,,,
95123.93158,52503.10347,25279.25071,50482.41854,0,,,
204523.9648,68319.78956,32981.09727,58885.69391,0,,,
104721.8909,47097.339,23353.22959,52116.89341,0,,,
108750.3667,64030.88042,25224.56492,49819.43522,0,,,
91958.00618,51198.32769,25189.47282,52379.1255,0,,,
183189.013,54516.80041,33760.55069,43810.16847,1,,,
218313.7437,77339.36048,26851.42649,46349.94364,1,,,
236029.9495,90680.91933,32092.49299,52341.39532,1,,,
231985.3385,117204.498,34607.36607,60561.00715,1,,,
139576.4745,72870.97693,32309.26392,56391.57445,1,,,
153851.0328,100679.416,42526.61581,65568.3428,1,,,
185917.5888,136999.1443,50388.51982,72715.41445,1,,,
185439.4751,110753.0036,57235.09436,86635.53192,1,,,
115015.9955,64246.4591,28991.56977,61476.5625,1,,,
123725.2829,63475.41883,25968.06892,61599.36201,1,,,
49975.20692,42301.68112,19050.63944,28957.91826,0,,,
69564.29472,42266.61979,19607.43931,27091.2829,0,,,
62233.76634,36787.29157,18575.3848,27022.19487,0,,,
106216.0842,67046.80776,30920.96914,30489.14805,1,,,
109282.5026,82847.23706,27445.44232,39283.34303,1,,,
79713.6205,60235.57194,24956.1082,39281.96215,1,,,
69746.97517,55106.07582,27923.74993,52544.29102,0,,,
58379.36165,50463.71877,23824.38501,61426.53843,0,,,
62930.77725,45057.11887,23880.94909,58476.99433,0,,,
68486.01732,45652.78271,25798.06667,42329.75494,0,,,
77006.30773,58073.89155,25638.29619,42509.17286,0,,,
91217.40992,62776.27895,31607.60787,60193.98052,0,,,
80560.97532,58707.07554,27996.887,52431.0717,0,,,
74267.17216,55665.47354,24779.15816,54494.2768,0,,,
73059.56221,54728.37716,25291.48642,50724.15927,0,,,
106977.4414,50060.33117,31071.15541,53175.89293,0,,,
76287.9412,62242.90253,24011.29511,54698.52965,0,,,
91184.3858,45875.17043,26765.89725,57602.78635,0,,,
70571.62103,45560.84104,22861.4743,57812.32262,0,,,
92291.95354,55798.28402,23678.6225,51699.44075,0,,,
411206.9652,113774.0087,39189.70928,75518.28693,0,,,
97644.96137,49569.99418,24965.31745,57275.12894,0,,,
334806.811,135404.3963,41838.08985,55542.17286,1,,,
168159.0884,79578.03978,33301.57483,53429.58199,1,,,
152114.8917,119408.7327,39676.26238,59456.91862,1,,,
183387.8536,120928.6429,37266.80258,58108.591,1,,,
158199.7208,117788.314,33827.18857,53084.67866,1,,,
304047.3817,180985.4664,41419.72632,52849.09202,1,,,
244082.3835,117979.425,42408.35265,58984.7684,1,,,
