timestampMs,poorSignal,eegRawValue,eegRawValueVolts,attention,meditation,blinkStrength,delta,theta,alphaLow,alphaHigh,betaLow,betaHigh,gammaLow,gammaMid,tagEvent,location
1623577035233,0,20,4.39453125E-6,60,61,36,216795,21665,29261,26988,23991,3079,1477,1635,Tag0,unknown
1623577035246,0,20,4.39453125E-6,60,61,36,216795,21665,29261,26988,23991,3079,1477,1635,Tag0,unknown
1623577035247,0,20,4.39453125E-6,60,61,36,216795,21665,29261,26988,23991,3079,1477,1635,Tag0,unknown
1623577035248,0,16,3.515625E-6,60,61,36,216795,21665,29261,26988,23991,3079,1477,1635,Tag0,unknown
1623577035262,0,6,1.318359375E-6,60,61,36,216795,21665,29261,26988,23991,3079,1477,1635,Tag0,unknown
1623577035263,0,39,8.5693359375E-6,60,61,36,216795,21665,29261,26988,23991,3079,1477,1635,Tag0,unknown
1623577035278,0,54,1.1865234375000001E-5,60,61,36,216795,21665,29261,26988,23991,3079,1477,1635,Tag0,unknown
1623577035279,0,65,1.42822265625E-5,60,61,36,216795,21665,29261,26988,23991,3079,1477,1635,Tag0,unknown
1623577035295,0,68,1.4941406250000001E-5,60,61,36,216795,21665,29261,26988,23991,3079,1477,1635,Tag0,unknown
1623577035296,0,36,7.91015625E-6,60,61,36,216795,21665,29261,26988,23991,3079,1477,1635,Tag0,unknown
1623577035297,0,38,8.349609375E-6,60,61,36,216795,21665,29261,26988,23991,3079,1477,1635,Tag0,unknown
1623577035312,0,35,7.6904296875E-6,60,61,36,216795,21665,29261,26988,23991,3079,1477,1635,Tag0,unknown
1623577035313,0,44,9.66796875E-6,60,61,36,216795,21665,29261,26988,23991,3079,1477,1635,Tag0,unknown
1623577035314,0,96,2.109375E-5,60,61,36,216795,21665,29261,26988,23991,3079,1477,1635,Tag0,unknown
1623577035328,0,82,1.8017578124999998E-5,60,61,36,216795,21665,29261,26988,23991,3079,1477,1635,Tag0,unknown
1623577035329,0,60,1.318359375E-5,60,61,36,216795,21665,29261,26988,23991,3079,1477,1635,Tag0,unknown
1623577035330,0,43,9.448242187500001E-6,60,61,36,216795,21665,29261,26988,23991,3079,1477,1635,Tag0,unknown
1623577035346,0,22,4.833984375E-6,60,61,36,216795,21665,29261,26988,23991,3079,1477,1635,Tag0,unknown
1623577035347,0,16,3.515625E-6,60,61,36,216795,21665,29261,26988,23991,3079,1477,1635,Tag0,unknown
1623577035348,0,43,9.448242187500001E-6,60,61,36,216795,21665,29261,26988,23991,3079,1477,1635,Tag0,unknown
1623577035362,0,42,9.228515625000002E-6,60,61,36,216795,21665,29261,26988,23991,3079,1477,1635,Tag0,unknown
1623577035363,0,36,7.91015625E-6,60,61,36,216795,21665,29261,26988,23991,3079,1477,1635,Tag0,unknown
1623577035364,0,19,4.1748046875E-6,60,61,36,216795,21665,29261,26988,23991,3079,1477,1635,Tag0,unknown
