Delta,Theta,Alpha,Beta,Label
5099.904853,3155.232034,1918.436327,2967.707667,0
4833.312492,5096.264892,2545.69783,2798.222283,0
5142.516797,5358.915513,2556.82094,2857.704959,0
4499.412436,4785.884807,2290.826627,2883.735222,0
4418.168157,4867.884425,2046.695,2762.26635,0
4535.184306,4356.768561,2324.726212,2932.911947,0
4625.337162,4373.33214,2488.864146,2746.097136,0
5031.464305,4056.816874,2455.881611,2630.331039,0
4231.74467,4635.881074,2183.136,2704.690541,0
4865.728567,4991.311996,2352.121306,2485.066466,0
4929.470019,3954.268422,2252.578944,2774.435818,0
4938.794459,3273.315775,2803.896707,2920.212923,0
4303.336496,3141.573161,2414.563466,2494.490723,0
4754.521451,3382.693322,2312.907783,2947.71774,0
4254.147813,3801.16469,2460.665055,2722.353337,0
9736.195012,4878.411682,2702.727694,2931.220539,0
5463.786411,4378.768336,3046.299872,2583.515947,0
4522.344979,3795.844083,3110.476733,2807.901299,0
4736.889639,4262.505185,2953.134444,2709.914738,0
4785.717831,4393.133161,2769.964654,2973.893995,0
4570.565059,4189.889513,2725.680631,2951.335036,0
6755.717771,3980.916694,2899.419542,2552.62852,0
5582.605484,4084.878188,2531.389487,2785.176928,0
3991.216832,4465.244375,2569.975141,2884.430436,0
4411.309651,4360.988745,2585.1368,2715.239642,0
4719.357538,3593.450654,1622.631749,2381.952024,1
4655.304138,3995.659505,1893.479055,2651.050272,1
4821.000622,3964.424124,2218.033529,2366.710228,1
4230.542903,4086.369115,1741.415466,2698.194306,1
3987.290471,4557.438439,2266.081332,2605.494362,1
4981.958268,4224.038009,1754.47131,2524.151352,1
5388.010518,3941.635462,2345.398665,2516.683886,1
4657.756454,4466.734627,2313.539586,2525.364172,1
4083.853287,4023.146375,2423.588779,2967.597555,1
3774.578979,4876.429714,1966.749748,2607.264336,1
4488.884455,4014.719322,1791.458899,2152.898062,1
4471.352585,4156.058675,1945.792094,2640.036284,1
3931.564419,3835.343002,1830.907151,2328.102703,1
4505.239786,4081.45335,1921.667792,2517.038772,1
3499.146742,4414.269347,2315.952356,2702.09983,1
4551.997621,3969.149422,2260.514558,2633.400852,1
4941.487981,4713.697944,2086.981487,2409.991398,1
4671.051169,4216.681586,2066.031865,2876.347263,1
4093.490683,3875.931782,2150.879096,2556.313491,1
4957.211847,4324.625728,2122.324511,2451.267153,1
4705.85009,4517.91988,1903.519089,2986.517943,1
4312.691093,4453.369242,2337.242579,2654.678736,1
4016.962678,4174.594817,1731.70432,2761.849381,1
4211.072309,3861.91835,2035.3583,2503.168062,1
5098.122874,4974.530758,2464.231527,2790.642069,1
