timestampMs,poorSignal,eegRawValue,eegRawValueVolts,attention,meditation,blinkStrength,delta,theta,alphaLow,alphaHigh,betaLow,betaHigh,gammaLow,gammaMid,tagEvent,location
1643178012184,0,1,2.197265625E-7,44,61,35,16745686,16765192,16746806,26756,31443,13291,4141,6356,Tag0,unknown
1643178012197,0,-257,-5.64697265625E-5,44,61,35,16745686,16765192,16746806,26756,31443,13291,4141,6356,Tag0,unknown
1643178012198,0,5,1.0986328125E-6,44,61,35,16745686,16765192,16746806,26756,31443,13291,4141,6356,Tag0,unknown
1643178012213,0,22,4.833984375E-6,44,61,35,16745686,16765192,16746806,26756,31443,13291,4141,6356,Tag0,unknown
1643178012214,0,-262,-5.7568359375E-5,44,61,35,16745686,16765192,16746806,26756,31443,13291,4141,6356,Tag0,unknown
1643178012231,0,-262,-5.7568359375E-5,44,61,35,16745686,16765192,16746806,26756,31443,13291,4141,6356,Tag0,unknown
1643178012232,0,1,2.197265625E-7,44,61,35,16745686,16765192,16746806,26756,31443,13291,4141,6356,Tag0,unknown
1643178012233,0,2,4.39453125E-7,44,61,35,16745686,16765192,16746806,26756,31443,13291,4141,6356,Tag0,unknown
1643178012248,0,11,2.4169921875E-6,44,61,35,16745686,16765192,16746806,26756,31443,13291,4141,6356,Tag0,unknown
1643178012249,0,21,4.614257812500001E-6,44,61,35,16745686,16765192,16746806,26756,31443,13291,4141,6356,Tag0,unknown
1643178012250,0,1,2.197265625E-7,44,61,35,16745686,16765192,16746806,26756,31443,13291,4141,6356,Tag0,unknown
1643178012265,0,-274,-6.0205078124999997E-5,44,61,35,16745686,16765192,16746806,26756,31443,13291,4141,6356,Tag0,unknown
1643178012266,0,38,8.349609375E-6,44,61,35,16745686,16765192,16746806,26756,31443,13291,4141,6356,Tag0,unknown
1643178012283,0,9,1.9775390625E-6,44,61,35,16745686,16765192,16746806,26756,31443,13291,4141,6356,Tag0,unknown
1643178012284,0,18,3.955078125E-6,44,61,35,16745686,16765192,16746806,26756,31443,13291,4141,6356,Tag0,unknown
1643178012285,0,1,2.197265625E-7,44,61,35,16745686,16765192,16746806,26756,31443,13291,4141,6356,Tag0,unknown
1643178012299,0,-259,-5.69091796875E-5,44,61,35,16745686,16765192,16746806,26756,31443,13291,4141,6356,Tag0,unknown
1643178012300,0,13,2.8564453125E-6,44,61,35,16745686,16765192,16746806,26756,31443,13291,4141,6356,Tag0,unknown
1643178012301,0,22,4.833984375E-6,44,61,35,16745686,16765192,16746806,26756,31443,13291,4141,6356,Tag0,unknown
1643178012316,0,42,9.228515625000002E-6,44,61,35,16745686,16765192,16746806,26756,31443,13291,4141,6356,Tag0,unknown
1643178012332,0,85,1.86767578125E-5,44,61,35,16745686,16765192,16746806,26756,31443,13291,4141,6356,Tag0,unknown
1643178012333,0,53,1.1645507812500002E-5,44,61,35,16745686,16765192,16746806,26756,31443,13291,4141,6356,Tag0,unknown
1643178012347,0,51,1.1206054687499999E-5,44,61,35,16745686,16765192,16746806,26756,31443,13291,4141,6356,Tag0,unknown
1643178012348,0,48,1.0546875E-5,44,61,35,16745686,16765192,16746806,26756,31443,13291,4141,6356,Tag0,unknown
1643178012349,0,11,2.4169921875E-6,44,61,35,16745686,16765192,16746806,26756,31443,13291,4141,6356,Tag0,unknown
1643178012350,0,21,4.614257812500001E-6,44,61,35,16745686,16765192,16746806,26756,31443,13291,4141,6356,Tag0,unknown
1643178012367,0,17,3.7353515625000003E-6,44,61,35,16745686,16765192,16746806,26756,31443,13291,4141,6356,Tag0,unknown
1643178012368,0,-292,-6.416015625000001E-5,44,61,35,16745686,16765192,16746806,26756,31443,13291,4141,6356,Tag0,unknown
